split,mode,classifier,f1-score,accuracy,time,modality
9,random,RandomForestClassifier,0.7766455663630282,0.7785714285714286,2.780144292046316,physio_all
9,random,KNeighborsClassifier,0.6355469348170077,0.6357142857142857,2.4749663750408217,physio_all
9,random,SVC,0.7915704091585811,0.7928571428571429,1.630287625011988,physio_all
9,random,MLPClassifier,0.7285160236783017,0.7285714285714286,1.7271899579791352,physio_all
0,groupshuffle,RandomForestClassifier,0.7205737943837427,0.72188013136289,1.6093384999549016,physio_all
0,groupshuffle,KNeighborsClassifier,0.6628001622148657,0.6529146141215106,1.3245401250896975,physio_all
0,groupshuffle,SVC,0.7190001351790547,0.7112068965517242,1.3944975420599803,physio_all
0,groupshuffle,MLPClassifier,0.6915263941371808,0.6847290640394088,1.6146882500033826,physio_all
1,groupshuffle,RandomForestClassifier,0.6428000406982659,0.6330645161290323,1.548200707999058,physio_all
1,groupshuffle,KNeighborsClassifier,0.5743585466238312,0.5651209677419354,1.3329677080037072,physio_all
1,groupshuffle,SVC,0.6205988193300985,0.6106854838709678,1.4201917910249904,physio_all
1,groupshuffle,MLPClassifier,0.5483836025666242,0.5401209677419355,1.5019849579548463,physio_all
2,groupshuffle,RandomForestClassifier,0.6422815499964963,0.6959247648902821,1.62701349996496,physio_all
2,groupshuffle,KNeighborsClassifier,0.6027289565205805,0.6155694879832811,1.3540824169758707,physio_all
2,groupshuffle,SVC,0.6438987662061398,0.6925809822361546,1.440953749930486,physio_all
2,groupshuffle,MLPClassifier,0.6160457650201481,0.6337513061650992,1.6479507919866592,physio_all
3,groupshuffle,RandomForestClassifier,0.7672799197984123,0.7600198412698413,1.6380166659364477,physio_all
3,groupshuffle,KNeighborsClassifier,0.6413916661850546,0.6340277777777779,1.3297757089603692,physio_all
3,groupshuffle,SVC,0.7503619200381183,0.7407738095238096,1.4781140419654548,physio_all
3,groupshuffle,MLPClassifier,0.6967586833736887,0.6890873015873016,1.7749783339677379,physio_all
4,groupshuffle,RandomForestClassifier,0.5909761015985946,0.6235119047619048,1.6820527500240132,physio_all
4,groupshuffle,KNeighborsClassifier,0.5594405594405595,0.5674603174603174,1.3733076250646263,physio_all
4,groupshuffle,SVC,0.6071427214961507,0.6360119047619048,1.4712810829514638,physio_all
4,groupshuffle,MLPClassifier,0.5874125874125874,0.5958333333333333,1.7095823750132695,physio_all
5,groupshuffle,RandomForestClassifier,0.7078524747236404,0.7123435054773083,1.7273447919869795,physio_all
5,groupshuffle,KNeighborsClassifier,0.642376901979551,0.6429968701095461,1.3570370828965679,physio_all
5,groupshuffle,SVC,0.6923423683754262,0.6982589984350548,1.365745999966748,physio_all
5,groupshuffle,MLPClassifier,0.6586209489435296,0.6634389671361502,1.5779827500227839,physio_all
6,groupshuffle,RandomForestClassifier,0.6546228239845262,0.6883009508061182,1.6604389999993145,physio_all
6,groupshuffle,KNeighborsClassifier,0.615518038852914,0.6374534931789996,1.348037667106837,physio_all
6,groupshuffle,SVC,0.6714586155068265,0.6981190574617611,1.4964780419832096,physio_all
6,groupshuffle,MLPClassifier,0.6000365753996149,0.62525837122778,1.6083767920499668,physio_all
